Densidad de estados ,Tiempo de ejecución, 1.52301400562e9 
 Parámetros 
 n, J, B, pasos, frecuencia, bins 
  30, 1, 0, 1000000, 10000, 420 
  E_i, E_f, S, DOS 
-1.7476190476, -1.7428571429, 15606.3489379883, 5.639315921569619756818666690644022987888787864067239004651873129738643318731836e+6777 
-1.7428571429, -1.7380952381, 15608.2608947754, 3.815739407282757927435755142949768068775791974055282775578965007932325968096867e+6778 
-1.7380952381, -1.7333333333, 15610.2730407715, 2.85392535691902696405280174987900883796672443961390486025972198118311725625252e+6779 
-1.7333333333, -1.7285714286, 15614.3712158203, 1.718926946244548502256706096805146675952600279356324643469622512432641771165109e+6781 
-1.7285714286, -1.7238095238, 15616.2386169434, 1.112396011390039157270011030211475736693189583118869736660507056934130590809086e+6782 
-1.7238095238, -1.719047619, 15618.1438293457, 7.476230043710102372183960569887525314074863576652953931395792439633497785886626e+6782 
-1.719047619, -1.7142857143, 15620.1486053467, 5.550675144890196906467384923664451355975095944170093079173017144778368282085895e+6783 
-1.7142857143, -1.7095238095, 15622.1035003662, 3.920540373145465005403172853179877236676577327843258041108966823225511393510000e+6784 
-1.7095238095, -1.7047619048, 15624.032989502, 2.699680782725253488225344656496557940968286356186189609934033994968584791664918e+6785 
-1.7047619048, -1.7, 15625.9978790283, 1.925985858070189440694238785666070310034850696250267510661584589971492195773714e+6786 
-1.7, -1.6952380952, 15627.8886566162, 1.275872764503656988998958720932395166721558154232886864094862800860389615579494e+6787 
-1.6952380952, -1.6904761905, 15629.8416748047, 8.994818183291126383408701880385778156886667963156470273501464898689690151631792e+6787 
-1.6904761905, -1.6857142857, 15631.7522735596, 6.077918686158971750192282602627193998034839961356890070249186886402201207460929e+6788 
-1.6857142857, -1.680952381, 15633.6553955078, 4.076338549757234749106520131409741964884224260928556669015526815528177660041903e+6789 
-1.680952381, -1.6761904762, 15635.5802764893, 2.794058112716087086747665265717503582277807208154796913617608198038990431308077e+6790 
-1.6761904762, -1.6714285714, 15637.4824829102, 1.872204077057231681373060007298110414552492986245837683415728383619930782964549e+6791 
-1.6714285714, -1.6666666667, 15639.3888397217, 1.259718276824222948771688809428810578128585086035498868939718314521920727809812e+6792 
-1.6666666667, -1.6619047619, 15643.3303527832, 6.487103146820166826145742817323640908677753742266846427639678376854613981505869e+6793 
-1.6619047619, -1.6571428571, 15645.0766296387, 3.719197194826237308785079961552606148866275702562362349364734545610803381849318e+6794 
-1.6571428571, -1.6523809524, 15646.9860839844, 2.510236796327157943891796131485011874565124143637239295437270785325646040216639e+6795 
-1.6523809524, -1.6476190476, 15648.8696594238, 1.650977334118742972774549010810200953346690942625165185263281492166065982933011e+6796 
-1.6476190476, -1.6428571429, 15650.7799530029, 1.115247019326422635223310710622152746298784581125104727779064913952665565265432e+6797 
-1.6428571429, -1.6380952381, 15652.6443481445, 7.195609612359628440013560711070749073014301161466262909964508002694199209366495e+6797 
-1.6380952381, -1.6333333333, 15654.479019165, 4.50666310429046469876536861677566218562575113115567123009850709060008288944257e+6798 
-1.6333333333, -1.6285714286, 15656.3548431396, 2.94113591707602115351635370701843172556521862022176603068875724381301471570558e+6799 
-1.6285714286, -1.6238095238, 15658.236328125, 1.93033925157802186098718730976803917444883396172307512618895643547526264927991e+6800 
-1.6238095238, -1.619047619, 15660.1042175293, 1.249820669716978391045387654967812025384612026533014577420591397819253237716698e+6801 
-1.619047619, -1.6142857143, 15661.9469299316, 7.890918009440343761784533472608428010349238455053837074233851194664783709518107e+6801 
-1.6142857143, -1.6095238095, 15663.8022460938, 5.045231543039489389839207815387918516165340773622109643188631851878316134599584e+6802 
-1.6095238095, -1.6047619048, 15665.6851654053, 3.316061444506947379704101992613356903185586212156425403316035578286018417850165e+6803 
-1.6047619048, -1.6, 15667.4955291748, 2.026999140232997721526972876177526512524428603036582180191495112678910430522978e+6804 
-1.6, -1.5952380952, 15671.3034973145, 9.133413390032626804413491920059782160310687176501363652183506165004464169077143e+6805 
-1.5952380952, -1.5904761905, 15673.0240631104, 5.10346740948138788845153882204289394183112264130692043986866857159847823093044e+6806 
-1.5904761905, -1.5857142857, 15674.8067169189, 3.034324738826415455389239375889535622034616974866950289198811552186811002610854e+6807 
